DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,Sinusthrom_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,Sinusthrom_narrow,50-59,Female,149328,0,0,902.28,total
TEST,Sinusthrom_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,Sinusthrom_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,Sinusthrom_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,Sinusthrom_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,Sinusthrom_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,Sinusthrom_narrow,80+,Female,115656,0,0,1164.97,total
TEST,Sinusthrom_narrow,80+,Male,77592,0,0,1736.47,total
TEST,Sinusthrom_narrow,0-59,Female,347700,0,0,387.51,total
TEST,Sinusthrom_narrow,0-59,Male,305976,0,0,440.35,total
TEST,Sinusthrom_narrow,60+,Female,373320,0,0,360.91,total
TEST,Sinusthrom_narrow,60+,Male,310734,0,0,433.61,total
TEST,TP_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,TP_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,TP_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,TP_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,TP_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,TP_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,TP_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,TP_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,TP_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,TP_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,TP_narrow,50-59,Female,149328,0,0,902.28,total
TEST,TP_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,TP_narrow,60-69,Female,125538,0,0,1073.27,total
TEST,TP_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,TP_narrow,70-79,Female,131760,0,0,1022.59,total
TEST,TP_narrow,70-79,Male,109434,0,0,1231.21,total
TEST,TP_narrow,80+,Female,115656,0,0,1164.97,total
TEST,TP_narrow,80+,Male,77592,0,0,1736.47,total
TEST,TP_narrow,0-59,Female,348066,0,0,387.1,total
TEST,TP_narrow,0-59,Male,305976,0,0,440.35,total
TEST,TP_narrow,60+,Female,372954,0,0,361.27,total
TEST,TP_narrow,60+,Male,310734,0,0,433.61,total
TEST,VTENoTP,12-17,Female,12444,0,0,10827.41,total
TEST,VTENoTP,12-17,Male,8052,0,0,16733.27,total
TEST,VTENoTP,18-24,Female,20862,0,0,6458.46,total
TEST,VTENoTP,18-24,Male,21594,0,0,6239.53,total
TEST,VTENoTP,25-29,Female,16836,0,0,8002.87,total
TEST,VTENoTP,25-29,Male,17202,0,0,7832.6,total
TEST,VTENoTP,30-39,Female,55632,0,0,2421.92,total
TEST,VTENoTP,30-39,Male,46482,0,0,2898.68,total
TEST,VTENoTP,40-49,Female,92964,0,0,1449.34,total
TEST,VTENoTP,40-49,Male,77958,0,0,1728.32,total
TEST,VTENoTP,50-59,Female,149328,0,0,902.28,total
TEST,VTENoTP,50-59,Male,134688,0,0,1000.36,total
TEST,VTENoTP,60-69,Female,125904,0,0,1070.15,total
TEST,VTENoTP,60-69,Male,123708,0,0,1089.15,total
TEST,VTENoTP,70-79,Female,131167,556.92,67.45,2011.8,total
TEST,VTENoTP,70-79,Male,109068,0,0,1235.34,total
TEST,VTENoTP,80+,Female,114204,639.64,77.46,2310.62,total
TEST,VTENoTP,80+,Male,77592,0,0,1736.47,total
TEST,VTENoTP,0-59,Female,348066,0,0,387.1,total
TEST,VTENoTP,0-59,Male,305976,0,0,440.35,total
TEST,VTENoTP,60+,Female,371275,393.51,107.22,1007.54,total
TEST,VTENoTP,60+,Male,310368,0,0,434.12,total
TEST,VTE_narrow,12-17,Female,12444,0,0,10827.41,total
TEST,VTE_narrow,12-17,Male,8052,0,0,16733.27,total
TEST,VTE_narrow,18-24,Female,20862,0,0,6458.46,total
TEST,VTE_narrow,18-24,Male,21594,0,0,6239.53,total
TEST,VTE_narrow,25-29,Female,16836,0,0,8002.87,total
TEST,VTE_narrow,25-29,Male,17202,0,0,7832.6,total
TEST,VTE_narrow,30-39,Female,55632,0,0,2421.92,total
TEST,VTE_narrow,30-39,Male,46482,0,0,2898.68,total
TEST,VTE_narrow,40-49,Female,92964,0,0,1449.34,total
TEST,VTE_narrow,40-49,Male,77958,0,0,1728.32,total
TEST,VTE_narrow,50-59,Female,149328,0,0,902.28,total
TEST,VTE_narrow,50-59,Male,134688,0,0,1000.36,total
TEST,VTE_narrow,60-69,Female,125904,0,0,1070.15,total
TEST,VTE_narrow,60-69,Male,123708,0,0,1089.15,total
TEST,VTE_narrow,70-79,Female,131167,556.92,67.45,2011.8,total
TEST,VTE_narrow,70-79,Male,109068,0,0,1235.34,total
TEST,VTE_narrow,80+,Female,114204,639.64,77.46,2310.62,total
TEST,VTE_narrow,80+,Male,77592,0,0,1736.47,total
TEST,VTE_narrow,0-59,Female,348066,0,0,387.1,total
TEST,VTE_narrow,0-59,Male,305976,0,0,440.35,total
TEST,VTE_narrow,60+,Female,371275,393.51,107.22,1007.54,total
TEST,VTE_narrow,60+,Male,310368,0,0,434.12,total
