DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,TP_narrow,70-79,Female,73932,0,0,1822.44
TEST,TP_narrow,70-79,Male,65148,0,0,2068.16
TEST,TP_narrow,80+,Female,81618,0,0,1650.82
TEST,TP_narrow,80+,Male,51972,0,0,2592.48
TEST,TP_narrow,0-59,Female,47214,0,0,2853.74
TEST,TP_narrow,0-59,Male,42456,0,0,3173.55
TEST,TP_narrow,60+,Female,193248,0,0,697.22
TEST,TP_narrow,60+,Male,165432,0,0,814.45
TEST,VTENoTP,12-17,Female,366,0,0,368132.03
TEST,VTENoTP,12-17,Male,1830,0,0,73626.41
TEST,VTENoTP,18-24,Female,2196,0,0,61355.34
TEST,VTENoTP,18-24,Male,3294,0,0,40903.56
TEST,VTENoTP,25-29,Female,366,0,0,368132.03
TEST,VTENoTP,25-29,Male,1098,0,0,122710.68
TEST,VTENoTP,30-39,Female,5490,0,0,24542.14
TEST,VTENoTP,30-39,Male,2562,0,0,52590.29
TEST,VTENoTP,40-49,Female,9150,0,0,14725.28
TEST,VTENoTP,40-49,Male,11346,0,0,11875.23
TEST,VTENoTP,50-59,Female,29646,0,0,4544.84
TEST,VTENoTP,50-59,Male,22326,0,0,6034.95
TEST,VTENoTP,60-69,Female,38064,0,0,3539.73
TEST,VTENoTP,60-69,Male,48312,0,0,2788.88
TEST,VTENoTP,70-79,Female,73339,996.06,120.63,3598.11
TEST,VTENoTP,70-79,Male,64782,0,0,2079.84
TEST,VTENoTP,80+,Female,80532,907.09,109.85,3276.73
TEST,VTENoTP,80+,Male,51972,0,0,2592.48
TEST,VTENoTP,0-59,Female,47214,0,0,2853.74
TEST,VTENoTP,0-59,Male,42456,0,0,3173.55
TEST,VTENoTP,60+,Female,191935,761.2,207.4,1948.96
TEST,VTENoTP,60+,Male,165066,0,0,816.26
TEST,VTE_narrow,12-17,Female,366,0,0,368132.03
TEST,VTE_narrow,12-17,Male,1830,0,0,73626.41
TEST,VTE_narrow,18-24,Female,2196,0,0,61355.34
TEST,VTE_narrow,18-24,Male,3294,0,0,40903.56
TEST,VTE_narrow,25-29,Female,366,0,0,368132.03
TEST,VTE_narrow,25-29,Male,1098,0,0,122710.68
TEST,VTE_narrow,30-39,Female,5490,0,0,24542.14
TEST,VTE_narrow,30-39,Male,2562,0,0,52590.29
TEST,VTE_narrow,40-49,Female,9150,0,0,14725.28
TEST,VTE_narrow,40-49,Male,11346,0,0,11875.23
TEST,VTE_narrow,50-59,Female,29646,0,0,4544.84
TEST,VTE_narrow,50-59,Male,22326,0,0,6034.95
TEST,VTE_narrow,60-69,Female,38064,0,0,3539.73
TEST,VTE_narrow,60-69,Male,48312,0,0,2788.88
TEST,VTE_narrow,70-79,Female,73339,996.06,120.63,3598.11
TEST,VTE_narrow,70-79,Male,64782,0,0,2079.84
TEST,VTE_narrow,80+,Female,80532,907.09,109.85,3276.73
TEST,VTE_narrow,80+,Male,51972,0,0,2592.48
TEST,VTE_narrow,0-59,Female,47214,0,0,2853.74
TEST,VTE_narrow,0-59,Male,42456,0,0,3173.55
TEST,VTE_narrow,60+,Female,191935,761.2,207.4,1948.96
TEST,VTE_narrow,60+,Male,165066,0,0,816.26
