sex,month,year,Ageband,type_vax_1,history_covid,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MISCC_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MISCC_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MISCC_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MISCC_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,April,2021,40-49,AstraZeneca,1,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,60-69,AstraZeneca,0,-101,-101,-101,-101,-101,-101,-101,-101,-101,-101,-101,-101,-101,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,30-39,AstraZeneca,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,30-39,AstraZeneca,0,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,30-39,AstraZeneca,0,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,40-49,Moderna,0,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,-170,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,30-39,AstraZeneca,0,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,30-39,AstraZeneca,0,33,33,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,20-29,Moderna,0,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,-109,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,20-29,Moderna,0,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,20-29,Moderna,0,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,70-79,Moderna,0,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,30-39,Pfizer,0,54,54,54,54,54,54,54,54,54,54,54,54,54,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,Moderna,0,-231,-231,-231,-231,-231,-231,-231,-231,-231,-231,-231,-231,-231,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,Moderna,0,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,40-49,Moderna,0,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,-228,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,40-49,AstraZeneca,0,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125,-125,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,50-59,UKN,0,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,50-59,UKN,0,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,50-59,UKN,0,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,70-79,AstraZeneca,1,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,50-59,Pfizer,0,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,30-39,AstraZeneca,0,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,70-79,Pfizer,0,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,70-79,Pfizer,0,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,40-49,Pfizer,1,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,50-59,AstraZeneca,0,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,40-49,Moderna,0,41,41,41,41,41,41,41,41,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,18-19,Pfizer,0,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,18-19,Pfizer,0,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,18-19,Pfizer,0,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,20-29,Pfizer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,60-69,Moderna,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,50-59,Moderna,0,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,50-59,Moderna,0,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,50-59,Moderna,0,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,60-69,UKN,1,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,60-69,UKN,1,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,60-69,UKN,1,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,80+,Pfizer,0,84,84,84,84,84,84,84,84,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,80+,Pfizer,0,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,60-69,AstraZeneca,0,36,36,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,50-59,UKN,0,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,60-69,Moderna,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,60-69,Moderna,0,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,50-59,AstraZeneca,0,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,-55,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,60-69,Pfizer,1,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,-11,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,30-39,AstraZeneca,0,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,-49,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,50-59,Moderna,0,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,60-69,AstraZeneca,1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1,January,2021,20-29,Pfizer,0,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,20-29,Pfizer,0,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,20-29,Pfizer,0,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
0,January,2021,80+,Pfizer,0,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0
0,April,2021,60-69,Pfizer,1,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,60-69,Pfizer,1,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,40-49,AstraZeneca,0,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,70-79,Moderna,0,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,-51,0,0,0,0,0,0,0,0,0,0,0,0
0,May,2021,20-29,AstraZeneca,0,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,-27,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,40-49,Pfizer,1,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,20-29,Pfizer,1,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
1,May,2021,20-29,Pfizer,1,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
1,June,2021,20-29,Pfizer,1,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
0,February,2021,20-29,Moderna,0,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
0,March,2021,20-29,Moderna,0,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,50-59,AstraZeneca,1,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
1,April,2021,50-59,AstraZeneca,1,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,40-49,Moderna,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1,February,2021,40-49,Pfizer,0,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1,March,2021,40-49,Pfizer,0,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
0,June,2021,80+,Pfizer,0,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,50-59,Pfizer,0,-7403,-7403,-7403,-7403,-7403,-7403,-7403,-7403,-7403,-7403,-7403,-7403,-7403,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,50-59,Pfizer,0,-7573,-7573,-7573,-7573,-7573,-7573,-7573,-7573,-7573,-7573,-7573,-7573,-7573,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,70-79,Pfizer,0,-2493,-2493,-2493,-2493,-2493,-2493,-2493,-2493,-2493,-2493,-2493,-2493,-2493,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,30-39,Moderna,0,-1184,-1184,-1184,-1184,-1184,-1184,-1184,-1184,-1184,-1184,-1184,-1184,-1184,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,30-39,Moderna,0,-1206,-1206,-1206,-1206,-1206,-1206,-1206,-1206,-1206,-1206,-1206,-1206,-1206,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,30-39,Moderna,0,-1157,-1157,-1157,-1157,-1157,-1157,-1157,-1157,-1157,-1157,-1157,-1157,-1157,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,80+,Pfizer,0,673,673,673,673,673,673,673,673,673,673,673,673,673,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,80+,Pfizer,0,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,1274,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,50-59,Pfizer,1,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,50-59,Pfizer,1,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,-197,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,50-59,Pfizer,1,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,-126,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,50-59,Pfizer,0,-6114,-6114,-6114,-6114,-6114,-6114,-6114,-6114,-6114,-6114,-6114,-6114,-6114,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,70-79,Pfizer,0,-2245,-2245,-2245,-2245,-2245,-2245,-2245,-2245,-2245,-2245,-2245,-2245,-2245,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,January,2021,50-59,Pfizer,0,170,170,170,170,170,170,170,170,170,170,170,170,170,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,50-59,Pfizer,0,353,353,353,353,353,353,353,353,353,353,353,353,353,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,50-59,Pfizer,0,490,490,490,490,490,490,490,490,490,490,490,490,490,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,40-49,Pfizer,0,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3228,-3123,-3228,-3228,-3228,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,40-49,Pfizer,0,-3338,-3338,-3338,-3338,-3338,-3338,-3338,-3338,-3338,-3233,-3338,-3338,-3338,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,40-49,Pfizer,0,-2855,-2855,-2855,-2855,-2855,-2855,-2855,-2855,-2855,-2792,-2855,-2855,-2855,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,70-79,AstraZeneca,0,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,70-79,AstraZeneca,0,144,144,144,144,144,144,144,144,144,144,144,144,144,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,60-69,Moderna,0,115,115,115,115,115,115,115,115,115,115,115,115,115,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,60-69,Moderna,0,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,80+,Pfizer,0,-212,-212,-212,-212,-212,-212,-212,-212,-212,-212,-212,-212,-212,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,60-69,Pfizer,0,-4701,-4701,-4701,-4701,-4701,-4701,-4701,-4701,-4701,-4701,-4701,-4701,-4701,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,60-69,Pfizer,0,-4765,-4765,-4765,-4765,-4765,-4765,-4765,-4765,-4765,-4765,-4765,-4765,-4765,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,20-29,Moderna,0,-365,-365,-365,-365,-365,-365,-365,-365,-365,-365,-365,-365,-365,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,20-29,Moderna,0,-376,-376,-376,-376,-376,-376,-376,-376,-376,-376,-376,-376,-376,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,20-29,Moderna,0,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,-271,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,50-59,AstraZeneca,0,446,446,446,446,446,446,446,446,446,446,446,446,446,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,50-59,AstraZeneca,0,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,-166,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,20-29,Pfizer,0,-1322,-1322,-1322,-1322,-1322,-1322,-1322,-1322,-1322,-1322,-1322,-1322,-1322,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,20-29,Pfizer,0,-1377,-1377,-1377,-1377,-1377,-1377,-1377,-1377,-1377,-1377,-1377,-1377,-1377,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,20-29,Pfizer,0,-1121,-1121,-1121,-1121,-1121,-1121,-1121,-1121,-1121,-1121,-1121,-1121,-1121,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,80+,Pfizer,0,116,116,116,116,116,116,116,116,116,116,116,116,116,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,60-69,AstraZeneca,0,-1337,-1337,-1337,-1337,-1337,-1337,-1337,-1337,-1337,-1337,-1337,-1337,-1337,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,60-69,AstraZeneca,0,-1361,-1361,-1361,-1361,-1361,-1361,-1361,-1361,-1361,-1361,-1361,-1361,-1361,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,20-29,Pfizer,0,88,88,88,88,88,88,88,88,88,88,88,88,88,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,20-29,Pfizer,0,185,185,185,185,185,185,185,185,185,185,185,185,185,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,60-69,Pfizer,0,-2122,-2122,-2122,-2122,-2122,-2122,-2122,-2122,-2122,-2122,-2122,-2122,-2122,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,January,2021,60-69,Pfizer,0,166,166,166,166,166,166,166,166,166,166,166,166,166,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,60-69,Pfizer,0,292,292,292,292,292,292,292,292,292,292,292,292,292,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,60-69,Pfizer,0,426,426,426,426,426,426,426,426,426,426,426,426,426,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,30-39,Pfizer,0,-1739,-1739,-1739,-1739,-1739,-1739,-1739,-1739,-1739,-1739,-1739,-1739,-1739,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,30-39,Pfizer,0,-1789,-1789,-1789,-1789,-1789,-1789,-1789,-1789,-1789,-1789,-1789,-1789,-1789,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,30-39,Pfizer,0,-1617,-1617,-1617,-1617,-1617,-1617,-1617,-1617,-1617,-1617,-1617,-1617,-1617,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,60-69,UKN,0,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,60-69,UKN,0,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,-695,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,60-69,UKN,0,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,70-79,Pfizer,0,-862,-862,-862,-862,-862,-862,-862,-862,-862,-862,-862,-862,-862,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,30-39,Moderna,0,42,42,42,42,42,42,42,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,50-59,Moderna,0,-1090,-1090,-1090,-1090,-1090,-1090,-1090,-1090,-1090,-1034,-1090,-1090,-1090,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,50-59,Moderna,0,-1131,-1131,-1131,-1131,-1131,-1131,-1131,-1131,-1131,-1075,-1131,-1131,-1131,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,50-59,Moderna,0,-375,-375,-375,-375,-375,-375,-375,-375,-375,-319,-375,-375,-375,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,40-49,AstraZeneca,0,64,64,64,64,64,64,64,64,64,64,64,64,64,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,40-49,AstraZeneca,0,329,329,329,329,329,329,329,329,329,329,329,329,329,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,40-49,AstraZeneca,0,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,-117,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,18-19,Pfizer,0,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,18-19,Pfizer,0,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,18-19,Pfizer,0,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,-366,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,January,2021,40-49,Pfizer,0,83,83,83,83,83,83,83,83,83,83,83,83,83,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,40-49,Pfizer,0,176,176,176,176,176,176,176,176,176,176,176,176,176,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,40-49,Pfizer,0,291,291,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,70-79,Moderna,0,12,12,12,12,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,70-79,Moderna,0,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,50-59,AstraZeneca,0,-353,-353,-353,-353,-353,-353,-353,-353,-353,-353,-353,-353,-353,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,70-79,AstraZeneca,0,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,50-59,AstraZeneca,0,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,18-19,Moderna,0,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,18-19,Moderna,0,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,18-19,Moderna,0,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,12-17,Pfizer,0,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,12-17,Pfizer,0,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,12-17,Pfizer,0,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,-630,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,60-69,Moderna,0,-338,-338,-338,-338,-338,-338,-338,-338,-338,-338,-338,-338,-338,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,40-49,Moderna,1,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,40-49,Moderna,1,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,30-39,Pfizer,1,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,-56,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,30-39,Pfizer,1,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,30-39,Pfizer,1,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,January,2021,30-39,Pfizer,1,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,February,2021,30-39,Pfizer,1,28,28,28,28,28,28,28,28,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,30-39,Pfizer,1,31,31,31,31,31,31,31,31,31,31,31,31,31,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,January,2021,80+,Pfizer,0,106,106,106,106,106,106,106,106,106,106,106,106,106,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,50-59,UKN,0,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,50-59,UKN,0,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,-356,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,50-59,AstraZeneca,0,-107,-107,-107,-107,-107,-107,-107,-107,-107,-107,-107,-107,-107,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,70-79,UKN,0,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,70-79,Pfizer,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,80+,Pfizer,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,March,2021,80+,Moderna,0,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,80+,Moderna,0,33,33,33,33,33,33,33,33,33,33,33,33,33,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,April,2021,40-49,Pfizer,1,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,-48,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,40-49,Pfizer,1,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,June,2021,40-49,Pfizer,1,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,January,2021,20-29,Pfizer,0,65,65,65,65,65,65,65,65,65,65,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0
both_sexes,May,2021,40-49,AstraZeneca,0,-260,-260,-260,-260,-260,-260,-260,-260,-260,-260,-260,-260,-260,0,0,0,0,0,0,0,0,0,0,0,0
